comment,date,day,time
"No idea..... these guys hv dominated football for years, I dunno who'll replicate that.",2023-11-23,Thursday,19:00:00
No any Messi again but Mbappe will be Ronaldo or more than him in the future,2023-11-23,Thursday,23:23:00
Maybe...Mbappe and Haaland...\nBut none can be equal to Messi and Ronaldo😊,2023-11-23,Thursday,20:00:00
Non long as mbape is playing in farmers league ..the end of football is nearr,2023-11-23,Thursday,19:00:00
Only I see my goalkeeper A.Backer,2023-11-23,Thursday,19:00:00
Nobody there will be no rivalry like messi and ronaldo 😭,2023-11-23,Thursday,19:00:00
No one will replace this vs,2023-11-23,Thursday,22:00:00
I and father,2023-11-23,Thursday,20:00:00
No one can replace leo,2023-11-23,Thursday,19:00:00
Me and my friend we always compete in 4 a side in many street 👌,2023-11-23,Thursday,23:00:00
No one can be like them. They are in one piece ❤️🙃\n\nLove you lm10 cr7,2023-11-23,Thursday,20:00:00
Il y en aura toujours sinon je vois Mbappe et Halland,2023-11-23,Thursday,22:00:00
"As for Messi the are lot of punks ,,but as for Ronaldo no 1 for the next 2 decades0",2023-11-23,Thursday,20:00:00
Teboho Lengana Halland and Mbappe has already taken Ronaldo's place. No one can do what Messi does😎🍿,2023-11-23,Thursday,22:00:00
Teboho Lengana Fifa Fcked him up😂😂😂😂,2023-11-23,Thursday,22:00:00
Aki and Pawpaw. Do you know them?,2023-11-23,Thursday,20:00:00
Marcus Vs Rashford 😂,2023-11-23,Thursday,22:00:00
Nobody... The rest are weaklings,2023-11-23,Thursday,21:00:00
Pedri and gavi,2023-11-23,Thursday,19:00:00
Easy no one,2023-11-23,Thursday,19:00:00
Dare not compare this duo with jokers,2023-11-23,Thursday,23:00:00
It will never happen,2023-11-23,Thursday,23:07:00
result Infinity.! 🙂,2023-11-23,Thursday,20:00:00
Rashford and goals,2023-11-23,Thursday,19:00:00
Naziru Aminu we share the same view!!😂,2023-11-23,Thursday,19:00:00
Naziru Aminu One day God will have mercy on Rashford lol,2023-11-23,Thursday,20:00:00
Not too soon\nIt was a great rivalry for Longer time,2023-11-23,Thursday,20:00:00
Nobody Knows but God does,2023-11-23,Thursday,20:00:00
It is done,2023-11-23,Thursday,19:00:00
Unless they can stay on top for 15 years… no one 🤷🏾\u200d♂️,2023-11-23,Thursday,19:00:00
Halland and Mbappe has already taken Ronaldo's place. No one can do what Messi does😎🍿,2023-11-23,Thursday,22:00:00
Mbappe will easily fit in to Ronaldo's shoes but there's no one presently that can fit into Messi's shoes.,2023-11-23,Thursday,22:00:00
E'm boys be using steroids this days like Halland And Mpappe 😅,2023-11-23,Thursday,20:00:00
Mbappe vs haaland,2023-11-23,Thursday,20:00:00
Only his boys can do that,2023-11-23,Thursday,23:00:00
No one can replace them🤝🏾,2023-11-23,Thursday,22:00:00
No one can't be,2023-11-23,Thursday,19:00:00
"If mbappe gone under pep,then it would be happen something's else!",2023-11-23,Thursday,23:00:00
They won't be a thing like the Messi and Ronaldo. Mbappe and Haaland era is about to get heated up,2023-11-23,Thursday,22:00:00
Never Happend Again ..,2023-11-23,Thursday,20:00:00
No 2 footballers can replicate Messi-Ronaldo rivalry.,2023-11-23,Thursday,20:00:00
And whitch footballer will be the next alison becker,2023-11-23,Thursday,22:00:00
Not in our lifetime,2023-11-23,Thursday,21:00:00
Musiala and Bellingham,2023-11-23,Thursday,19:00:00
No one for now.\nI don't know about in the next 5 to 10 years oooo,2023-11-23,Thursday,19:00:00
Mppape and vini jr,2023-11-23,Thursday,23:04:00
This is impossible.,2023-11-23,Thursday,19:00:00
No one can replace them🫂,2023-11-23,Thursday,20:00:00
KM vs JB,2023-11-23,Thursday,19:00:00
Fwah Ezeqyel imagine comparing mbappe with jude,2023-11-23,Thursday,22:00:00
Not yet landed on the Earth,2023-11-23,Thursday,21:00:00
Mbappe and Halland will be fun to watch for the next decade for sure.,2023-11-23,Thursday,20:00:00
Maybe Nunez and missing,2023-11-23,Thursday,20:00:00
Their not burn yet,2023-11-23,Thursday,19:00:00
Maguire & Onana,2023-11-23,Thursday,21:00:00
No one can be,2023-11-23,Thursday,20:00:00
It is impossible,2023-11-23,Thursday,19:00:00
Haaland and HOJLUND,2023-11-23,Thursday,19:00:00
There can be another Ronaldo. There won't be no more Messi,2023-11-23,Thursday,23:00:00
Halaand vs Mpabbe,2023-11-23,Thursday,23:07:00
Bellingham and halland,2023-11-23,Thursday,20:00:00
ansu and vini...,2023-11-23,Thursday,21:00:00
Me and any other person\nAmen,2023-11-23,Thursday,20:00:00
Nobody can be the next next,2023-11-23,Thursday,23:00:00
Their sons 👌😏,2023-11-23,Thursday,19:00:00
Haaland vs Mbappe obviously. Both will compete for Ballon Dor and City vs Madrid compete for UCL,2023-11-23,Thursday,19:00:00
Julian alvarez and haland,2023-11-23,Thursday,20:00:00
सोनाम छेत्री & mbappe ?,2023-11-23,Thursday,22:00:00
Haaaland vs Mbappe,2023-11-23,Thursday,20:00:00
No-one,2023-11-23,Thursday,19:00:00
Halland and mbape,2023-11-23,Thursday,21:00:00
Anthony vs mudryk 😆,2023-11-23,Thursday,19:00:00
Which player can score up to 850 goals ??,2023-11-23,Thursday,19:00:00
Haaland & mbappe 🔥,2023-11-23,Thursday,19:00:00
None because they don’t have the discipline,2023-11-23,Thursday,21:00:00
Haaland mbappe obviously,2023-11-23,Thursday,21:00:00
Fabrizio Romano vs GOAL,2023-11-23,Thursday,21:00:00
تياغو و كريم بنزيما😂,2023-11-23,Thursday,19:00:00
هالاند و مبابي,2023-11-23,Thursday,19:00:00
Kylian Mbappé vs Erling Haaland,2023-11-23,Thursday,20:00:00
Mbappe v Halaand .,2023-11-23,Thursday,23:00:00
Me and Me period,2023-11-23,Thursday,22:00:00
None,2023-11-23,Thursday,19:00:00
Susan Sewa vs Gnh Yonten Jamtsho,2023-11-23,Thursday,21:00:00
Aniga iyo gavi,2023-11-23,Thursday,20:00:00
Nenhum,2023-11-23,Thursday,19:00:00
We never see something like Messi vs Ronaldo again. Some might say mbappe vs haaland but they don’t make us enjoy watching them play as Messi and Ronaldo.,2023-11-23,Thursday,20:00:00
"Mbappe vs Haaland\nMbappe as an all rounder like messi , Haaland as just a tap in Master",2023-11-23,Thursday,19:00:00
"Md Rahat Hossain lmao 🤣🤣 Messi is never an all rounder fyi ..he can only dribble ,score a free kick and play make that's it 🤣🤣...",2023-11-23,Thursday,19:00:00
Eren Yeager Ronaldo can only tap in from the mini D box,2023-11-23,Thursday,20:00:00
Md Rahat Hossain was that suppose to make me laugh or are you one of those midget fan with no Brain ? 💀,2023-11-23,Thursday,23:00:00
"Eren Yeager you are also one of those brainless fans who think scoring free kick is normal👀\nMessi scores, Messi makes teammates score , Messi dribbles , Messi creates chances . Not like your idol waiting for a chance in D box",2023-11-23,Thursday,23:00:00
Md Rahat Hossain yep as expected a lame logicless explanation from a pessi fan 🤣\nGo watch Ronaldo highlights from 2006-08 you seasonal terrorist fan girl 🤣🤣💀💀,2023-11-23,Thursday,23:00:00
Eren Yeager imagine comparing one's 2-3 year with another's whole playmaking career .\nShow me your idol's playmaking award by the way!,2023-11-23,Thursday,23:00:00
"Md Rahat Hossain lmao another lame explanation 💀 i never mentioned Ronaldo being a playmaker as good as pessi lol 🤣\nRonaldo can playmake but not as good as pessi , Ronaldo can dribble not as good as Messi ,but can your pessi score a header like Ronaldo? Can your pessi score 35+ yard goal like Ronaldo? Can your pessi score a bycycle kick like Ronaldo? I can put up more points to say Ronaldo is much more of an all rounder than pessi but you seasonal fan girl will bring up some illogical argument and it'll be a waste of time for me 🤣🤣",2023-11-23,Thursday,23:00:00
Tiga pemain hebat 🔥 🔥🔥🔥🔥🔥,2023-11-23,Thursday,19:00:00
Yael Padilla y Chino Huerta,2023-11-23,Thursday,21:00:00
"উইজে পিছে অ্যালিছন,উতিই",2023-11-23,Thursday,19:00:00
Don't you understand? This rivalry will never be repeated by other players. A pity for those who don't enjoy watching them play.,2023-11-23,Thursday,20:00:00
Me,2023-11-23,Thursday,19:00:00
Noo onee,2023-11-23,Thursday,20:00:00
Gavi\nPedri\nJude\nJamal\nVini\nLopez\nRodrygo\nMbappe\nHalland\n\nYou can peak any two to be the next L10 CR7,2023-11-23,Thursday,19:00:00
There Will Be No Another Messi And Ronaldo,2023-11-23,Thursday,21:00:00
Nobody can be Pele or maradona....nei\nther can anybody be Messi or Ronaldo...every\none got their style,2023-11-23,Thursday,20:00:00
It couldn't happen for ever,2023-11-23,Thursday,22:00:00
Vinicius Jr et Mbappé 😌,2023-11-23,Thursday,20:00:00
Only messi we know footballer,2023-11-23,Thursday,21:00:00
Greatness is rare !! The chances are very low !!,2023-11-23,Thursday,22:00:00
None of them,2023-11-23,Thursday,20:00:00
There will never be anyone to replace the GOATS,2023-11-23,Thursday,20:00:00
Haland vs mbappe,2023-11-23,Thursday,20:00:00
Who were the the two versions of them before they came? Exactly,2023-11-23,Thursday,19:00:00
There will never be another Messi. Martin Braithwaite will be the next Ronaldo.,2023-11-23,Thursday,19:00:00
GOAL Do you guys watch football at all? Why do you always us to think that these two footballing skills and records are the same!!!\n\nOne of just a tap in merchant!!!,2023-11-23,Thursday,19:00:00
Like messi never back again in the world. Oh messi is not woman.,2023-11-23,Thursday,20:00:00
NONE,2023-11-23,Thursday,19:00:00
Ninguno xd,2023-11-23,Thursday,20:00:00
❌️❌️❌️,2023-11-23,Thursday,21:00:00
Top fan\nSoon Park,2023-11-23,Thursday,19:00:00
❤️❤️,2023-11-23,Thursday,23:42:00
Top fan\nEsther Choi,2023-11-23,Thursday,21:00:00
Impossible but Mbappe and haaland will be the next competitor.,2023-11-23,Thursday,21:00:00
Unless the fellow is from Argentina because Messi type of game is solely played by Argentines\n\nMessi & Maradona,2023-11-23,Thursday,19:00:00
Stop trying to chip-in Ronaldo into Messi's level. There is no comparison between both of them. Messi is on a league of his own. Ronaldo is no where near. 🙄 Stoppet GOAL,2023-11-23,Thursday,23:18:00
no one will be messi but haaland is already ronaldo,2023-11-23,Thursday,22:00:00
Kubo plays like Messi,2023-11-23,Thursday,19:00:00
Haaland v Mbappe,2023-11-23,Thursday,19:00:00
Md. Kawsar Alam Feroze henry . Mbappe\nIbrahimovic. Haland,2023-11-23,Thursday,19:00:00
No one can replace these 2 greats.,2023-11-23,Thursday,19:00:00
"Mbappe vs Haaland\nMbappe as an all rounder like messi , Haaland as just a tap in Master like Ronaldo",2023-11-23,Thursday,19:00:00
No one can take their place 🐐🐐,2023-11-23,Thursday,19:00:00
PESSI DOESN'T COME CLOSE TO CR7🐐❤️,2023-11-23,Thursday,19:00:00
They can be another ronaldo but we can never see another Messi again cos Messi is the 🐐,2023-11-23,Thursday,22:00:00
No one can replace Cristiano 💔,2023-11-23,Thursday,19:00:00
This Will Be Never Happend Again,2023-11-23,Thursday,20:00:00
I think it will be copy and paste.,2023-11-23,Thursday,20:00:00
No one Choyon Sutradhar Abu Saleh,2023-11-23,Thursday,19:00:00
Haaland and Mbappe,2023-11-23,Thursday,23:30:00
No one will replace messi,2023-11-23,Thursday,19:00:00
Haaland and Mbappe,2023-11-23,Thursday,19:00:00
Ronaldo Jr,2023-11-23,Thursday,23:20:00
K. Mbappe × L. Yamal,2023-11-23,Thursday,23:00:00
Halaand and Mbappe,2023-11-23,Thursday,22:00:00
Ronaldo jr and thiago messi,2023-11-23,Thursday,22:00:00
Mbappe vs Joaô Felix,2023-11-23,Thursday,22:00:00
Me and you👌🏽,2023-11-23,Thursday,22:00:00
Maguire and Onana,2023-11-23,Thursday,22:00:00
Jamal Musiala Vs Jude Bellingham,2023-11-23,Thursday,22:00:00
Maybe Haaland vs. Mbappe,2023-11-23,Thursday,22:00:00
Julian Alvarez Vs halland,2023-11-23,Thursday,21:00:00
Mbappe and Haaland,2023-11-23,Thursday,21:00:00
Mbappe vs Jude,2023-11-23,Thursday,20:00:00
Mbappe and Haaland\n\nNunez will be like Suarez,2023-11-23,Thursday,20:00:00
Harry Maguire and rashford,2023-11-23,Thursday,20:00:00
Haaland v Mbappé,2023-11-23,Thursday,20:00:00
Only themselves can,2023-11-23,Thursday,20:00:00
No one,2023-11-23,Thursday,20:00:00
Mbappe + Haaland + Bellingham,2023-11-23,Thursday,19:00:00
Literally no one,2023-11-23,Thursday,19:00:00
Messi_❌\nRonaldo _Haaland,2023-11-23,Thursday,19:00:00
Yamal and hojlund,2023-11-23,Thursday,19:00:00
No one,2023-11-23,Thursday,19:00:00
Mbappe and Kane,2023-11-23,Thursday,19:00:00
Only Saka u be in place of both goats,2023-11-23,Thursday,22:00:00
Tapakabe,2023-11-23,Thursday,21:00:00
None,2023-11-23,Thursday,21:00:00
NONE,2023-11-23,Thursday,20:00:00
Darwin Nunez and Kai havertz 🙄,2023-11-23,Thursday,20:00:00
None,2023-11-23,Thursday,20:00:00
"Huh, No One 😏",2023-11-23,Thursday,20:00:00
Messi don😘😘😘l,2023-11-23,Thursday,20:00:00
Haland VS Mbappe,2023-11-23,Thursday,20:00:00
Cristiano Ronaldo and Halaand,2023-11-23,Thursday,20:00:00
Saka and Halland,2023-11-23,Thursday,20:00:00
None,2023-11-23,Thursday,19:00:00
None,2023-11-23,Thursday,19:00:00
Noooo noooo,2023-11-23,Thursday,19:00:00
Mube Arsenal,2023-11-23,Thursday,19:00:00
none,2023-11-23,Thursday,19:00:00
No one 🙄,2023-11-23,Thursday,19:00:00
None,2023-11-23,Thursday,23:31:00
Mbappe v Haaland,2023-11-23,Thursday,20:00:00
Jude Bellingham and Kylian Mbappé,2023-11-23,Thursday,19:00:00
Noone,2023-11-23,Thursday,19:00:00
Allison becker,2023-11-23,Thursday,19:00:00
"Yes of course, you can chew your ciga 😊",2023-11-23,Thursday,23:46:00
Even drinking water,2023-11-23,Thursday,22:00:00
By this time Sarri is seriously smoking 🚬 for tactics.\n\nLMAO 😂😆😁,2023-11-23,Thursday,17:00:00
James Koussas bro is asking the right questions,2023-11-23,Thursday,18:00:00
Two Manchester United fans were allegedly struck by\nconcrete that fell from the Old Trafford ceiling during the\nwomen's Manchester derby on Sunday…\nGet well soon fans 😭,2023-11-23,Thursday,17:00:00
He is a true legend,2023-11-23,Thursday,21:00:00
Ronaldo is better tbh,2023-11-23,Thursday,15:00:00
I thought he was sick,2023-11-23,Thursday,15:00:00
#GazaIsHere 🇵🇸🇵🇸🇵🇸🇵🇸,2023-11-23,Thursday,15:00:00
They didn't pay him like Ronaldo 😂🤣,2023-11-23,Thursday,15:00:00
The man of big games a genuine icon Angel Di Maria Argentina 🇦🇷 will miss you,2023-11-23,Thursday,13:00:00
